Sprint,Phase,Title,Must-win goal,Primary acceptance gate
10,Data Connection-lite,PostgreSQL Snapshot Connector,외부 운영 DB에서 query snapshot을 가져와 raw dataset으로 commit한다. 이 스프린트는 파일 기반 데모를 실제 source DB sync 데모로 확장하는 첫 번째 단계다.,`sync_orders_pg` 실행 시 `raw.erp_orders` version이 생성된다. / source DB 접속 실패는 sync run FAILED로 기록되고 transaction을 만들지 않거나 abort한다. / large result를 메모리에 전부 올리지 않고 batch로 쓴다. / query 변경으로 schema breaking이 발생하면 commit 전에 차단된다. / Source UI에서 testConnection 성공/실패를 확인할 수 있다.
11,Transform Engine,Transform Registry와 SQL/DuckDB Runner,raw dataset version을 명시적으로 입력으로 묶고 SQL/DuckDB로 clean dataset을 생성할 수 있게 한다. 이 스프린트의 성공 기준은 transform이 임의 파일 경로를 읽는 것이 아니라 Dataset Registry의 committed version만 읽는 것이다.,`clean_orders.sql` 실행으로 `clean.orders` committed version이 생성된다. / transform run 상세에 input dataset version id가 남는다. / input dataset이 없거나 committed version이 없으면 run이 시작되지 않는다. / SQL 오류는 run FAILED로 기록되고 output transaction이 abort된다. / 동일 input version으로 rerun해도 결과 version 생성 정책이 명확하다.
12,Transform Engine,Transform Output Commit Protocol과 Lineage,Transform이 만든 output dataset이 어떤 input dataset version에서 왔는지 lineage로 재현 가능하게 만든다. 이후 object property의 source evidence를 추적하려면 이 스프린트가 반드시 안정적이어야 한다.,`clean.orders` lineage 조회 시 `raw.erp_orders` input version이 보인다. / transform run id로 input/output version을 모두 조회할 수 있다. / output check 실패 시 lineage edge가 committed output으로 남지 않는다. / 재실행한 transform은 새 run id와 새 output version을 가진다. / object indexing 전에 object backing dataset의 lineage를 추적할 수 있다.
13,Transform Engine,Transform Health Gates와 Temporal 실행,"Transform output도 dataset health check를 통과해야만 성공으로 인정하고, run/retry/schedule이 Temporal worker에서 안정적으로 관리되도록 한다.",primary key uniqueness 실패 transform은 SUCCESS가 아니라 FAILED 또는 BLOCKED가 된다. / Temporal retry가 output 중복 commit을 만들지 않는다. / run 상세에서 각 lifecycle step 시간이 보인다. / scheduled run을 수동 trigger와 같은 code path로 실행한다. / health gate 실패가 lineage/audit에 남는다.
14,Transform Engine,Python Transform SDK Prototype,"Python 사용자가 Dataset Registry의 input/output abstraction을 통해 transform을 작성할 수 있게 한다. 단, Python runner도 SQL runner와 같은 transaction, lineage, health gate를 반드시 사용해야 한다.",`clean_customers.py`가 `raw.crm_customers`를 읽어 `clean.customers`를 만든다. / Python transform도 lineage edge와 output version을 남긴다. / Python transform 실패 시 transaction이 abort된다. / SDK 사용자 코드는 raw S3 path를 직접 알 필요가 없다. / Python package unit test가 local fixture dataset으로 통과한다.
15,Ontology,Ontology Draft·Object/Property YAML Import,"Dataset을 사용자에게 직접 노출하지 않고 `Order`, `Customer` 같은 object type으로 끌어올릴 수 있는 최소 ontology metadata를 만든다. 아직 indexing은 하지 않아도, object/property/backing mapping을 draft로 저장할 수 있어야 한다.","`Order` object type YAML을 draft에 import할 수 있다. / 존재하지 않는 property type, 중복 apiName, primaryKey 누락을 validation error로 반환한다. / draft 상태에서는 active ontology에 영향을 주지 않는다. / Ontology API가 active와 draft를 구분해 반환한다. / YAML import 결과가 DB row로 정규화되어 저장된다."
16,Ontology,Ontology Activation Validation과 Versioning,"Ontology draft를 active로 전환할 때 backing dataset, schema, primary key, property mapping을 엄격히 검증한다. 활성화된 ontology version은 SDK/API/object indexing의 계약이므로 임의 수정되지 않아야 한다.","valid `Order`, `Customer` ontology가 active version이 된다. / 존재하지 않는 column을 매핑한 draft는 activate되지 않는다. / primary key column이 nullable이면 activate가 실패한다. / active ontology는 직접 수정할 수 없고 새 draft로만 변경된다. / activation event `ontology.version.activated`가 outbox 또는 event log에 기록된다."
17,Object Store,Object Store Core와 Merge Policy,"Ontology object의 current operational view를 저장할 PostgreSQL 기반 object store를 만든다. source에서 온 base_properties와 action에서 온 edit_properties를 분리해 저장하고, current_properties를 정책적으로 계산한다.",base patch만 적용하면 properties가 base와 동일하다. / edit_only property는 source update로 덮이지 않는다. / conflict_requires_review 상황에서 conflict row가 생성된다. / object_version이 base/edit update마다 증가한다. / unit test가 merge policy별 current view를 검증한다.
18,Funnel-lite,Snapshot Indexer: Clean Dataset → Object Records,active ontology mapping에 따라 clean dataset snapshot을 object store로 인덱싱한다. 이 스프린트가 끝나면 `clean.orders` row가 `Order` object로 조회 가능한 상태가 된다.,`flite index rebuild Order` 실행 후 `object_records`에 Order가 생성된다. / 같은 dataset version 재색인은 idempotent하게 동작한다. / primary key null row는 index error로 기록되고 정책에 따라 skip/fail된다. / source_dataset_version_id가 object_records에 기록된다. / index run 상세에서 progress와 count가 보인다.
19,Object Query,Object Get/Filter/Sort/Page API,"운영 앱이 lake table을 직접 scan하지 않고 object store에서 object를 조회하도록 한다. get by id, 단순 filter, sort, pagination까지 최소 query path를 완성한다.",`GET Order/O-1001`이 current properties와 object_version을 반환한다. / `status=PENDING AND riskScore>=0.7` query가 정상 반환된다. / pagination cursor가 안정적으로 다음 page를 가져온다. / 존재하지 않는 property filter는 validation error를 반환한다. / query는 raw dataset file을 읽지 않고 object_records를 사용한다.
20,Object Query,Link Type과 Link Traversal,`Order → Customer` 같은 운영 관계를 object graph로 조회할 수 있게 한다. Foundry-lite가 단순 object list가 아니라 ontology graph라는 점을 증명하는 스프린트다.,`OrderCustomer` link가 clean.orders의 customer_id로 생성된다. / Order detail에서 연결된 Customer를 조회할 수 있다. / Customer에서 Order 목록으로 역방향 traversal이 가능하거나 명확한 reverse link가 정의된다. / 존재하지 않는 target object link는 warning/error 정책에 따라 기록된다. / link index run count가 `links_upserted`로 기록된다.
21,Object Query,Object Sets: Static/Dynamic Saved Sets,"사용자가 object query 결과를 운영 작업 단위로 저장하고 재사용할 수 있게 한다. Object Set은 이후 bulk action, UI workflow, saved operational view의 기반이 된다.",현재 pending orders query를 dynamic object set으로 저장할 수 있다. / static set은 저장 시점의 ids를 유지한다. / dynamic set은 query 실행 시점의 최신 object state를 반영한다. / 권한 없는 사용자는 다른 사용자의 private set을 볼 수 없다. / 만료된 temporary set은 조회되지 않거나 cleanup 대상이 된다.
22,Web UI,Dataset·Ontology·Object 최소 UI Vertical Slice,"CLI/API만 있는 플랫폼에서 벗어나, 사용자가 Web에서 dataset version, ontology active state, object query 결과를 한 흐름으로 볼 수 있게 한다. 아직 action은 없어도 'data가 object가 되었다'는 것을 제품 화면으로 증명한다.",Web에서 CSV upload 또는 기존 dataset version 확인이 가능하다. / Web에서 ontology YAML validation error를 확인할 수 있다. / Web Object Explorer에서 Order 목록과 상세를 조회할 수 있다. / Object detail에서 Order → Customer link를 볼 수 있다. / 새로고침해도 state가 서버 기준으로 복원된다.
23,Event Plane,Outbox·DLQ·Event Publisher,"DB transaction과 외부 event publish를 직접 묶지 않고 outbox pattern으로 안정화한다. 이후 action, indexing, materialization, side effect가 모두 같은 event plane을 사용해야 한다.",dataset.version.committed event가 outbox에 기록되고 publisher가 처리한다. / publisher 실패 시 event는 pending/failed 상태와 attempts를 가진다. / max retry 초과 event는 dead_letter_events로 이동한다. / 같은 event 재처리가 idempotent하다. / Operations 화면 또는 CLI에서 pending/failed/DLQ를 확인할 수 있다.
24,Action Runtime,Action DSL·Parameter Validation·Precondition Engine,"Action을 UI 버튼이 아니라 typed transaction definition으로 등록한다. 아직 object mutation commit은 다음 스프린트에서 하더라도, action type의 target, params, permission, precondition, mutation plan이 검증되어야 한다.","`ApproveOrder` action type을 ontology에 import/activate할 수 있다. / 필수 parameter 누락은 validation error를 반환한다. / `object.status in ['PENDING','REVIEW']` precondition이 true/false로 평가된다. / 존재하지 않는 property mutation을 가진 action은 activate되지 않는다. / 임의 JS/Python eval을 사용하지 않는다."
25,Action Runtime,Action Apply Transaction과 Optimistic Concurrency,사용자가 Action을 실행하면 object_records와 object_edits가 하나의 PostgreSQL transaction 안에서 갱신된다. 동시에 `expectedObjectVersion` 기반 optimistic concurrency로 조용한 last-write-wins를 막는다.,"ApproveOrder가 Order.status를 APPROVED로 바꾼다. / operatorNote editable property가 params.reason으로 설정된다. / 동시에 두 요청이 같은 expectedObjectVersion으로 오면 하나는 conflict로 실패한다. / 실패한 action은 object_edits를 남기지 않는다. / 성공 action은 action_run, object_edit, audit_event, outbox_event가 correlation_id로 연결된다."
26,Action Runtime,Action Idempotency·Action Log·Audit,"네트워크 재시도나 프론트엔드 중복 제출이 같은 Action을 여러 번 적용하지 못하게 하고, 모든 action execution이 감사·조회 가능한 action log로 남게 한다.","동일 idempotency key로 ApproveOrder를 10번 호출해도 object_edit은 하나만 생긴다. / 다른 idempotency key로 같은 object를 수정하면 expectedObjectVersion 규칙에 따라 처리된다. / Action log에서 actor, params subset, target, status, error, created/completed time이 보인다. / 감사 이벤트는 action_run_id와 object_edit_id를 참조한다. / 민감 parameter는 audit에서 masking할 수 있는 구조다."
27,Writeback,Before-Commit Writeback과 Compensation 상태,"외부 운영 시스템 writeback이 성공해야 local object edit을 commit하는 beforeCommit 모드를 구현한다. 단, 외부 성공 후 local commit 실패라는 위험 케이스를 `compensation_required`와 reconciliation 대상으로 명확히 기록한다.",ERP mock 500 응답이면 ApproveOrder는 실패하고 Order.status는 바뀌지 않는다. / ERP mock 200 응답이면 local object edit이 commit된다. / local commit 강제 실패 테스트에서 compensation_required row가 생성된다. / writeback request/response/status/attempts가 action_writebacks에 남는다. / 동일 action retry가 외부 idempotency key를 재사용한다.
28,Side Effects,After-Commit Side Effects와 Retry,"local object edit 성공 후 실행되는 webhook/event 같은 side effect를 object transaction과 분리한다. side effect 실패는 사용자 action 성공을 롤백하지 않고, outbox와 retry로 운영 가능하게 만든다.",ApproveOrder local commit 성공 후 webhook이 호출된다. / webhook 실패 시 Order.status는 APPROVED로 유지된다. / 실패 side effect는 retry 가능하며 retry 후 succeeded가 된다. / side effect attempts와 error가 DB에 남는다. / 사용자에게 action succeeded but side effect failed 상태를 명확히 보여줄 수 있다.
29,Web UI,Object Explorer Action Form,사용자가 Object Explorer에서 object를 보고 바로 Action을 실행할 수 있게 한다. 이 스프린트는 Foundry-lite가 읽기 전용 semantic layer가 아니라 운영 앱이라는 것을 제품적으로 증명한다.,Order detail에서 ApproveOrder 버튼이 보인다. / reason 입력 후 실행하면 status가 APPROVED로 바뀐다. / 다른 탭에서 object가 먼저 변경되면 conflict 메시지가 표시된다. / Action log panel에 방금 실행한 action이 보인다. / side effect failure가 object success와 구분되어 표시된다.
30,Materialization,Action Log → Dataset Materialization,Action Runtime 안에 갇힌 운영 변경 기록을 dataset 세계로 되돌린다. 첫 materialization은 action_runs/object_edits를 `ops.action_log` dataset으로 출력해 downstream transform이 사용자 결정을 input으로 사용할 수 있게 한다.,"ApproveOrder 실행 후 materialization을 돌리면 `ops.action_log` dataset version이 생긴다. / action_run_id, actor, target, status, parameters subset, edit patch가 dataset에 포함된다. / 같은 cursor로 재실행해도 중복 row 정책이 명확하다. / failed materialization은 output transaction을 abort한다. / Dataset UI에서 `ops.action_log` preview가 가능하다."
31,Materialization,Object Snapshot → Dataset Materialization with Watermark,object store의 current operational view를 특정 watermark 기준으로 snapshot dataset으로 출력한다. `ops.order_current`는 source data와 user edits가 병합된 최신 운영 상태를 downstream pipeline에 제공한다.,Order object current view가 `ops.order_current` dataset으로 출력된다. / ApproveOrder 후 snapshot에는 APPROVED 상태가 반영된다. / run metadata에 object_store_watermark가 저장된다. / 같은 watermark로 재실행하면 같은 row_count/hash가 나온다. / snapshot 생성 중 새 action이 들어와도 해당 run의 일관성이 깨지지 않는다.
32,Closed Loop,Downstream Transform이 Materialized Action/Object를 소비,"폐루프의 마지막 고리를 완성한다. 사용자의 Action 결과가 materialized dataset으로 나가고, downstream transform이 이를 input으로 소비해 새로운 clean dataset과 object state를 만든다.",ApproveOrder 전후로 downstream transform 결과가 달라진다. / Customer object page에서 새 risk/customer metric이 반영된다. / Full lineage에서 `ApproveOrder`가 `Customer.riskScore` 변화의 원인으로 추적 가능하다. / materialization/transform/indexer 중간 실패 시 어디서 끊겼는지 run UI로 알 수 있다. / 동일 action log cursor를 재처리해도 결과가 재현 가능하다.
33,Operations,Runs·Queues·Replay Operations UI/CLI,"폐루프 시스템은 반드시 실패를 볼 수 있고 재시도할 수 있어야 한다. sync, transform, index, action, materialization, outbox/DLQ를 한 곳에서 운영 가능하게 만든다.",의도적으로 실패시킨 transform을 UI에서 찾아 retry할 수 있다. / DLQ event를 재처리해 materialization을 성공시킬 수 있다. / Object detail에서 source evidence/run chain으로 이동할 수 있다. / run 목록 필터가 status/type/date로 동작한다. / 운영자가 DB에 직접 접속하지 않아도 기본 장애를 조사할 수 있다.
34,Security/Governance,v1 RBAC·Dataset/Object Permission·Property Masking,"Foundry 수준의 보안 완전체가 아니라도, v1에서 반드시 필요한 tenant isolation, RBAC, dataset/object read permission, action execute permission, property masking을 일관된 policy service로 구현한다.",viewer는 dataset을 읽을 수 있지만 ontology activate는 못 한다. / ops_manager만 ApproveOrder를 실행할 수 있다. / finance/admin이 아닌 사용자는 Order.margin 같은 민감 property가 masked 된다. / 다른 tenant의 object/dataset은 API와 DB RLS 모두에서 보이지 않는다. / permission denied도 audit_events에 decision=deny로 남는다.
35,OSDK-lite,Generated TypeScript SDK와 Web SDK 전환,프론트엔드와 외부 앱이 raw REST endpoint를 직접 다루지 않고 ontology 타입과 action 메서드로 Foundry-lite를 사용하게 한다. SDK는 active ontology apiName을 계약으로 삼는다.,`client.objects.Order.get('O-1001')`가 typed Order를 반환한다. / `client.actions.ApproveOrder.apply(...)`가 parameter type check를 받는다. / ontology apiName 변경/삭제 시 SDK generation이 breaking change를 감지한다. / SDK smoke test가 generated client로 end-to-end action을 실행한다. / Web이 최소 한 화면에서 raw fetch 대신 SDK를 사용한다.
36,MVP Release Hardening,MVP E2E·성능·데이터 정합성 Release Gate,MVP 폐루프가 문서가 아니라 반복 가능한 자동 테스트와 데모 스크립트로 증명되게 한다. 이 스프린트를 통과하면 Foundry-lite v1 core MVP라고 부를 수 있다.,새 환경에서 seed부터 closed-loop demo까지 명령 하나 또는 명확한 runbook으로 재현된다. / E2E test가 CI에서 통과한다. / reindex 결과 hash가 initial index 결과와 일치한다. / Action apply no external writeback p95 목표에 대한 최소 측정 리포트가 있다. / MVP release tag를 찍을 수 있는 상태다.
37,v1.5 Data Connection,REST Pull Connector와 Webhook Listener,"파일/DB snapshot 외에 API 기반 유입과 push ingest를 추가한다. 단, MVP core를 흔들지 않고 Source/Sync/Transaction framework 위에 connector만 추가하는 방식으로 구현한다.",mock REST API에서 orders를 pull해 raw dataset으로 commit한다. / pagination/cursor가 재시작 가능하다. / webhook event가 append transaction으로 raw dataset에 쌓인다. / 잘못된 signature webhook은 거부되고 audit deny가 남는다. / REST/Webhook 실패가 기존 Operations UI에 표시된다.
38,v1.5 Streaming,Redpanda/Kafka Stream Archive Writer,"Kafka-compatible stream event를 raw archive dataset으로 남겨 replay 가능한 stream ingestion 기반을 만든다. 아직 object CDC indexing까지는 하지 않고, stream offset/checkpoint를 안정적으로 저장하는 것이 핵심이다.",Redpanda topic에 event를 넣으면 raw stream archive dataset에 append된다. / worker restart 후 마지막 committed offset 이후부터 재개한다. / 중복 처리 가능성은 event id 또는 topic/partition/offset으로 식별 가능하다. / stream archive dataset preview가 가능하다. / lag와 failed event가 Operations에 보인다.
39,v1.5 CDC,Debezium PostgreSQL CDC Connector,PostgreSQL row 변경을 Debezium envelope로 받아 raw changelog dataset과 object indexing input으로 사용할 수 있게 한다. 이 스프린트의 핵심은 CDC envelope 표준화와 ordering metadata 보존이다.,mock ERP orders row insert/update/delete가 CDC topic으로 나온다. / CDC event가 raw changelog dataset에 append된다. / pk와 ordering metadata가 preview에서 확인된다. / delete event는 after=null 또는 tombstone 정책으로 표준화된다. / CDC connector 실패/lag가 Operations에서 보인다.
40,v1.5 CDC,CDC Object Indexing과 Delete/Tombstone 처리,"배치 rebuild 없이 CDC event가 object store의 base layer를 갱신하게 한다. update ordering, delete semantics, idempotent event processing을 명확히 구현한다.",ERP DB row update 후 Order object가 batch rebuild 없이 바뀐다. / delete event 후 object는 정책에 따라 deleted/tombstoned로 표시된다. / 같은 CDC event 재처리는 idempotent하다. / stale CDC event가 최신 object state를 덮지 않는다. / CDC update도 object.changed event와 materialization trigger를 만든다.
41,Scale/Reindex,Shadow Reindex와 Hash Validation,Ontology mapping 변경이나 index corruption 상황에서 live read를 막지 않고 object index를 재생성할 수 있게 한다. 이 스프린트는 replay-first 운영 능력의 핵심이다.,live Object Query 중 shadow reindex를 실행해도 reads가 계속 된다. / validation 성공 후 alias switch로 새 index가 serving된다. / validation 실패 시 기존 index가 유지된다. / reindex 후 object count/hash가 baseline과 일치한다. / action edits replay 후 current view가 기존과 같다.
42,Scale/Search,OpenSearch Adapter for Search-heavy Object Types,"PostgreSQL JSONB query의 한계를 넘는 full-text/search-heavy object type을 위해 OpenSearch adapter를 추가한다. 단, source of truth는 object store이며 search index는 재생성 가능한 projection으로 유지한다.",searchable property full-text query가 OpenSearch로 실행된다. / object edit 후 search index가 업데이트된다. / OpenSearch 장애 시 get by id와 basic Postgres filter는 계속 동작한다. / search index rebuild 결과가 object_records count와 맞는다. / OpenSearch에만 있고 object store에 없는 document를 detect할 수 있다.
43,Scale/Lakehouse,Iceberg StorageAdapter Prototype,Parquet manifest 기반 Dataset transaction 모델을 Iceberg table로 확장할 수 있음을 증명한다. v1 core logic은 유지하고 storage adapter만 교체 가능한지 검증한다.,새 iceberg dataset을 만들고 append/snapshot commit할 수 있다. / 기존 transform runner가 storage_kind 차이를 몰라도 input을 읽는다. / dataset_versions가 Iceberg metadata location을 참조한다. / schema evolution compatible/breaking 판정이 기존 policy와 일치한다. / Parquet manifest dataset과 Iceberg dataset이 같은 Dataset API로 조회된다.
44,Scale/Compute,Spark Runner Adapter Skeleton,"대용량 batch transform을 위해 Spark runner로 확장 가능한 compute adapter를 만든다. 즉시 완성형 Spark platform이 아니라, DuckDB runner와 같은 transform contract를 Spark에서도 지키는 것이 목적이다.",같은 `clean_orders.sql`을 DuckDB와 Spark runner 중 하나로 실행할 수 있다. / Spark 실패 시 output transaction이 abort된다. / Spark run도 lineage와 health checks를 남긴다. / ComputeAdapter 교체로 transform service core를 수정하지 않는다. / 작은 fixture data로 Spark runner integration test가 통과한다.
45,Deployment/Operations,Kubernetes Helm·Backup/Restore·Operational Runbook,로컬 Docker Compose를 넘어 small production 형태로 배포 가능한 운영 패키지를 만든다. 이 스프린트는 기능 개발보다 장애 복구와 배포 재현성에 초점을 둔다.,kind/minikube 또는 dev cluster에 Helm install이 성공한다. / migration job이 idempotent하게 실행된다. / backup DB + object storage에서 demo tenant를 복원할 수 있다. / readiness fail 시 traffic을 받지 않는다. / 운영자가 runbook만 보고 기본 배포/복구를 수행할 수 있다.
